Unnamed: 0,Name,Team,Rush_Att,Rush_Yds,Rush_TD,Rush_1D,Rush_YBC,Rush_YBC/Att,Rush_YAC,Rush_YAC/Att,Rush_BrkTkl,Att/Br,Rush_Lng,Tgt,Rec,Rec_Yds,Rec_TD,Rec_Lng,FL,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Pct,Date,Opponent,Hmcrt_adv,Stadium,Roof,Surface,Temperature,Humidity,Wind,Precipitation,Forecast
68.0,S.Perine,Kansas City Chiefs,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,2,30,0,21,0,0.0,0,0.0,0,0.0,0,31.0,1027,Las Vegas Raiders,0,Allegiant,indoors,grass,78,11,5,2,Mostly Cloudy
69.0,X.Worthy,Kansas City Chiefs,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,8,4,37,1,16,0,0.0,0,0.0,0,0.0,0,53.0,1027,Las Vegas Raiders,0,Allegiant,indoors,grass,78,11,5,2,Mostly Cloudy
70.0,T.Kelce,Kansas City Chiefs,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,12,10,90,1,25,0,0.0,0,0.0,0,0.0,0,79.0,1027,Las Vegas Raiders,0,Allegiant,indoors,grass,78,11,5,2,Mostly Cloudy
71.0,K.Hunt,Kansas City Chiefs,21,59,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,1,1,4,0,4,0,3.0,59,2.8,0,0.0,0,58.0,1027,Las Vegas Raiders,0,Allegiant,indoors,grass,78,11,5,2,Mostly Cloudy
72.0,P.Mahomes,Kansas City Chiefs,6,17,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,0,0,0,0,0,0,2.0,17,2.8,0,0.0,0,100.0,1027,Las Vegas Raiders,0,Allegiant,indoors,grass,78,11,5,2,Mostly Cloudy
73.0,P.Strong,Cleveland Browns,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,3,0,3,0,0.0,0,0.0,0,0.0,0,20.0,1027,Baltimore Ravens,1,Huntington Bank Field,outdoors,grass,53,49,13,1,Clear
74.0,C.Tillman,Cleveland Browns,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,9,7,99,2,38,0,0.0,0,0.0,0,0.0,0,90.0,1027,Baltimore Ravens,1,Huntington Bank Field,outdoors,grass,53,49,13,1,Clear
75.0,N.Chubb,Cleveland Browns,16,52,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,2,0,0,0,0,0,2.0,52,3.3,0,0.0,0,61.0,1027,Baltimore Ravens,1,Huntington Bank Field,outdoors,grass,53,49,13,1,Clear
76.0,J.Winston,Cleveland Browns,2,2,0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,1,0.0,0,0.0,0,0.0,0,100.0,1027,Baltimore Ravens,1,Huntington Bank Field,outdoors,grass,53,49,13,1,Clear
77.0,Z.Flowers,Baltimore Ravens,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,12,7,115,0,29,0,0.0,0,0.0,0,0.0,0,87.0,1027,Cleveland Browns,0,Huntington Bank Field,outdoors,grass,53,49,13,1,Clear
