,Name,Team,Rush_Att,Rush_Yds,Rush_TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br,Tgt,Rec,Rec_Yds,Rec_TD,Rush_Lng,Rec_Lng,FL,Rush_1D,Rush_YBC,Rush_YBC/Att,Rush_YAC,Rush_YAC/Att,Rush_BrkTkl,Pct,Date,Opponent,Hmcrt_adv,Stadium,Roof,Surface,Temperature,Humidity,Wind,Precipitation,Forecast
31,C.Akers,Minnesota Vikings,13,38,0,3,38,2.9,0,0.0,0,0,1,1,9,0,11,9,0,0,0,0,0,0,0,31.0,1110,Jacksonville Jaguars,0,EverBank,outdoors,grass,78,79,16,39,Mostly Cloudy
32,A.Jones,Minnesota Vikings,17,88,0,3,88,5.2,0,0.0,0,0,3,2,13,0,13,8,0,0,0,0,0,0,0,52.0,1110,Jacksonville Jaguars,0,EverBank,outdoors,grass,78,79,16,39,Mostly Cloudy
33,S.Darnold,Minnesota Vikings,7,28,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,3,28,4.0,0,0.0,0,100.0,1110,Jacksonville Jaguars,0,EverBank,outdoors,grass,78,79,16,39,Mostly Cloudy
34,T.McLaurin,Washington Commanders,0,0,0,0,0,0,0,0,0,0,6,5,113,0,0,54,0,0,0,0,0,0,0,89.0,1110,Pittsburgh Steelers,1,Northwest,outdoors,grass,54,49,7,21,Clear
35,J.McNichols,Washington Commanders,4,7,1,2,7,1.8,0,0.0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,30.0,1110,Pittsburgh Steelers,1,Northwest,outdoors,grass,54,49,7,21,Clear
36,A.Ekeler,Washington Commanders,13,44,2,7,44,3.4,0,0.0,0,0,2,1,7,0,10,7,0,0,0,0,0,0,0,70.0,1110,Pittsburgh Steelers,1,Northwest,outdoors,grass,54,49,7,21,Clear
37,J.Daniels,Washington Commanders,3,5,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,5,1.7,0,0.0,0,100.0,1110,Pittsburgh Steelers,1,Northwest,outdoors,grass,54,49,7,21,Clear
38,G.Pickens,Pittsburgh Steelers,1,4,0,0,4,4.0,0,0.0,0,0,7,5,91,1,4,34,0,0,0,0,0,0,0,81.0,1110,Washington Commanders,0,Northwest,outdoors,grass,54,49,7,21,Clear
39,N.Harris,Pittsburgh Steelers,21,53,1,4,53,2.5,0,0.0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,47.0,1110,Washington Commanders,0,Northwest,outdoors,grass,54,49,7,21,Clear
40,J.Warren,Pittsburgh Steelers,14,66,0,4,66,4.7,0,0.0,0,0,2,2,29,0,12,26,1,0,0,0,0,0,0,45.0,1110,Washington Commanders,0,Northwest,outdoors,grass,54,49,7,21,Clear
41,R.Wilson,Pittsburgh Steelers,4,3,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1,3,0.8,0,0.0,0,100.0,1110,Washington Commanders,0,Northwest,outdoors,grass,54,49,7,21,Clear
42,X.Legette,Carolina Panthers,0,0,0,0,0,0,0,0,0,0,4,3,40,0,0,23,0,0,0,0,0,0,0,98.0,1110,New York Giants,1,Allianz Arena,outdoors,grass,43,88,8,4,Mostly Cloudy
43,C.Hubbard,Carolina Panthers,28,153,1,7,153,5.5,0,0.0,0,0,6,4,16,0,26,10,1,0,0,0,0,0,0,88.0,1110,New York Giants,1,Allianz Arena,outdoors,grass,43,88,8,4,Mostly Cloudy
44,B.Young,Carolina Panthers,2,30,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,1,30,15.0,0,0.0,0,100.0,1110,New York Giants,1,Allianz Arena,outdoors,grass,43,88,8,4,Mostly Cloudy
45,M.Nabers,New York Giants,1,-2,0,0,-2,-2.0,0,0.0,0,0,10,6,50,0,-2,19,0,0,0,0,0,0,0,88.0,1110,Carolina Panthers,0,Allianz Arena,outdoors,grass,43,88,8,4,Mostly Cloudy
46,W.Robinson,New York Giants,0,0,0,0,0,0,0,0,0,0,8,5,51,0,0,23,0,0,0,0,0,0,0,65.0,1110,Carolina Panthers,0,Allianz Arena,outdoors,grass,43,88,8,4,Mostly Cloudy
47,D.Singletary,New York Giants,8,40,0,2,40,5.0,0,0.0,0,0,1,1,5,0,14,5,0,0,0,0,0,0,0,23.0,1110,Carolina Panthers,0,Allianz Arena,outdoors,grass,43,88,8,4,Mostly Cloudy
48,T.Tracy,New York Giants,18,103,1,5,103,5.7,0,0.0,0,0,2,1,1,0,32,1,1,0,0,0,0,0,0,80.0,1110,Carolina Panthers,0,Allianz Arena,outdoors,grass,43,88,8,4,Mostly Cloudy
49,D.Jones,New York Giants,7,26,1,0,0,0,0,0,0,0,0,0,0,0,10,0,0,4,26,3.7,0,0.0,0,100.0,1110,Carolina Panthers,0,Allianz Arena,outdoors,grass,43,88,8,4,Mostly Cloudy
50,J.Reagor,Los Angeles Chargers,2,-2,0,0,-2,-1.0,0,0.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,31.0,1110,Tennessee Titans,1,SoFi,indoors,turf,73,45,10,1,Clear
51,Q.Johnston,Los Angeles Chargers,0,0,0,0,0,0,0,0,0,0,2,2,24,1,0,16,0,0,0,0,0,0,0,83.0,1110,Tennessee Titans,1,SoFi,indoors,turf,73,45,10,1,Clear
52,J.Dobbins,Los Angeles Chargers,15,50,0,3,50,3.3,0,0.0,0,0,3,3,5,0,12,4,0,0,0,0,0,0,0,66.0,1110,Tennessee Titans,1,SoFi,indoors,turf,73,45,10,1,Clear
53,G.Edwards,Los Angeles Chargers,10,55,0,2,55,5.5,0,0.0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,25.0,1110,Tennessee Titans,1,SoFi,indoors,turf,73,45,10,1,Clear
54,J.Herbert,Los Angeles Chargers,9,32,1,0,0,0,0,0,0,0,0,0,0,0,8,0,0,4,32,3.6,0,0.0,0,100.0,1110,Tennessee Titans,1,SoFi,indoors,turf,73,45,10,1,Clear
55,C.Ridley,Tennessee Titans,0,0,0,0,0,0,0,0,0,0,9,5,84,2,0,41,0,0,0,0,0,0,0,93.0,1110,Los Angeles Chargers,0,SoFi,indoors,turf,73,45,10,1,Clear
