,Name,Team,Tgt,Rec,Rec_Yds,Rec_TD,Rush_Att,Rush_Yds,Rush_TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br,Rush_Lng,Rec_Lng,FL,Pct,Date,Opponent,Hmcrt_adv,Stadium,Roof,Surface,Temperature,Humidity,Wind,Precipitation,Forecast
69,M.Penix,Atlanta Falcons,0,0,0,0,2,3,0,0,3,1.5,0,0.0,0,0,3,0,0,100.0,1229,Washington Commanders,0,Northwest,outdoors,grass,58,93,7,85,Overcast
71,M.Valdes-Scantling,New Orleans Saints,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78.0,1229,Las Vegas Raiders,1,Caesars Superdome,indoors,turf,61,84,9,0,Clear
73,K.Austin,New Orleans Saints,2,1,23,0,0,0,0,0,0,0,0,0,0,0,0,23,0,70.0,1229,Las Vegas Raiders,1,Caesars Superdome,indoors,turf,61,84,9,0,Clear
75,K.Miller,New Orleans Saints,1,1,16,0,3,3,0,0,3,1.0,0,0.0,0,0,4,16,0,13.0,1229,Las Vegas Raiders,1,Caesars Superdome,indoors,turf,61,84,9,0,Clear
77,J.Williams,New Orleans Saints,1,1,12,0,2,12,0,0,12,6.0,0,0.0,0,0,8,12,0,42.0,1229,Las Vegas Raiders,1,Caesars Superdome,indoors,turf,61,84,9,0,Clear
79,C.Edwards-Helaire,New Orleans Saints,4,2,10,0,5,20,0,1,20,4.0,0,0.0,0,0,9,8,0,43.0,1229,Las Vegas Raiders,1,Caesars Superdome,indoors,turf,61,84,9,0,Clear
81,S.Rattler,New Orleans Saints,0,0,0,0,3,46,0,3,46,15.3,0,0.0,0,0,28,0,0,100.0,1229,Las Vegas Raiders,1,Caesars Superdome,indoors,turf,61,84,9,0,Clear
83,B.Bowers,Las Vegas Raiders,7,7,77,0,1,-1,0,0,-1,-1.0,0,0.0,0,0,-1,17,0,91.0,1229,New Orleans Saints,0,Caesars Superdome,indoors,turf,61,84,9,0,Clear
85,J.Meyers,Las Vegas Raiders,9,5,61,1,0,0,0,0,0,0,0,0,0,0,0,29,0,83.0,1229,New Orleans Saints,0,Caesars Superdome,indoors,turf,61,84,9,0,Clear
87,T.Tucker,Las Vegas Raiders,8,2,24,1,1,5,0,0,5,5.0,0,0.0,0,0,5,18,0,90.0,1229,New Orleans Saints,0,Caesars Superdome,indoors,turf,61,84,9,0,Clear
89,C.Collier,Las Vegas Raiders,0,0,0,0,3,6,0,0,6,2.0,0,0.0,0,0,3,0,0,4.0,1229,New Orleans Saints,0,Caesars Superdome,indoors,turf,61,84,9,0,Clear
91,A.Mattison,Las Vegas Raiders,3,1,6,0,10,32,0,1,32,3.2,0,0.0,0,0,6,6,0,31.0,1229,New Orleans Saints,0,Caesars Superdome,indoors,turf,61,84,9,0,Clear
93,A.Abdullah,Las Vegas Raiders,4,3,32,0,20,115,0,5,115,5.8,0,0.0,0,0,17,13,0,62.0,1229,New Orleans Saints,0,Caesars Superdome,indoors,turf,61,84,9,0,Clear
95,A.O'Connell,Las Vegas Raiders,0,0,0,0,3,-1,0,1,-1,-0.3,0,0.0,0,0,1,0,0,100.0,1229,New Orleans Saints,0,Caesars Superdome,indoors,turf,61,84,9,0,Clear
97,E.Moore,Cleveland Browns,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,65.0,1229,Miami Dolphins,1,Huntington Bank Field,outdoors,grass,61,76,9,71,Rain
99,J.Ford,Cleveland Browns,0,0,0,0,6,22,0,1,22,3.7,0,0.0,0,0,19,0,0,19.0,1229,Miami Dolphins,1,Huntington Bank Field,outdoors,grass,61,76,9,71,Rain
101,P.Strong,Cleveland Browns,5,3,15,0,5,33,0,2,33,6.6,0,0.0,0,0,19,8,0,35.0,1229,Miami Dolphins,1,Huntington Bank Field,outdoors,grass,61,76,9,71,Rain
103,D.Foreman,Cleveland Browns,2,0,0,0,13,49,0,3,49,3.8,0,0.0,0,0,7,0,0,47.0,1229,Miami Dolphins,1,Huntington Bank Field,outdoors,grass,61,76,9,71,Rain
105,D.Thompson-Robinson,Cleveland Browns,0,0,0,0,4,10,0,2,10,2.5,0,0.0,0,0,9,0,1,100.0,1229,Miami Dolphins,1,Huntington Bank Field,outdoors,grass,61,76,9,71,Rain
107,M.Washington,Miami Dolphins,5,4,41,0,1,-11,0,0,-11,-11.0,0,0.0,0,0,-11,13,0,87.0,1229,Cleveland Browns,0,Huntington Bank Field,outdoors,grass,61,76,9,71,Rain
109,J.Smith,Miami Dolphins,4,3,26,1,0,0,0,0,0,0,0,0,0,0,0,12,0,48.0,1229,Cleveland Browns,0,Huntington Bank Field,outdoors,grass,61,76,9,71,Rain
111,T.Hill,Miami Dolphins,9,9,105,0,0,0,0,0,0,0,0,0,0,0,0,25,0,88.0,1229,Cleveland Browns,0,Huntington Bank Field,outdoors,grass,61,76,9,71,Rain
113,R.Mostert,Miami Dolphins,2,2,16,0,6,3,0,0,3,0.5,0,0.0,0,0,8,13,0,40.0,1229,Cleveland Browns,0,Huntington Bank Field,outdoors,grass,61,76,9,71,Rain
115,J.Wilson,Miami Dolphins,0,0,0,0,3,5,0,0,5,1.7,0,0.0,0,0,4,0,0,13.0,1229,Cleveland Browns,0,Huntington Bank Field,outdoors,grass,61,76,9,71,Rain
117,D.Achane,Miami Dolphins,2,2,13,0,10,25,0,1,25,2.5,0,0.0,0,0,9,12,0,53.0,1229,Cleveland Browns,0,Huntington Bank Field,outdoors,grass,61,76,9,71,Rain
119,T.Huntley,Miami Dolphins,0,0,0,0,7,52,1,3,52,7.4,0,0.0,0,0,18,0,0,100.0,1229,Cleveland Browns,0,Huntington Bank Field,outdoors,grass,61,76,9,71,Rain
121,D.Smith,Philadelphia Eagles,7,6,120,2,0,0,0,0,0,0,0,0,0,0,0,49,0,80.0,1229,Dallas Cowboys,1,Lincoln Financial Field,outdoors,grass,64,87,14,13,Mostly Cloudy
